id,year,month,day,mets,pdf,label
3278,1969,09,30,1260640228503356.xml,1260640228508878.pdf,1969-09-30
3279,1969,10,01,1260640228533839.xml,1260640228540846.pdf,1969-10-01
3280,1969,10,02,1260640228568760.xml,1260640228576964.pdf,1969-10-02
3281,1969,10,03,1260640228605503.xml,1260640228611385.pdf,1969-10-03
3282,1969,10,06,1260640228637467.xml,1260640228642757.pdf,1969-10-06
3283,1969,10,07,1260640228669857.xml,1260640228675348.pdf,1969-10-07
3284,1969,10,08,1260640228700963.xml,1260640228706871.pdf,1969-10-08
3285,1969,10,09,1260640228732694.xml,1260640228738082.pdf,1969-10-09
3286,1969,10,10,1260640228765208.xml,1260640228770798.pdf,1969-10-10
3287,1969,09,17,126064022878356.xml,126064022886043.pdf,1969-09-17
3288,1969,10,14,1260640228797330.xml,1260640228802921.pdf,1969-10-14
3289,1969,10,15,1260640228844619.xml,1260640228851355.pdf,1969-10-15
3290,1969,10,16,1260640228878772.xml,1260640228884212.pdf,1969-10-16
3291,1969,10,17,1260640228916194.xml,1260640228921585.pdf,1969-10-17
3292,1969,10,20,1260640228954149.xml,1260640228959402.pdf,1969-10-20
3293,1969,10,21,1260640228985436.xml,1260640228991306.pdf,1969-10-21
3294,1969,10,24,1260640229103076.xml,1260640229114131.pdf,1969-10-24
3295,1969,10,27,1260640229189714.xml,1260640229196877.pdf,1969-10-27
3296,1969,10,22,126064022919491.xml,126064022926923.pdf,1969-10-22
3297,1969,10,28,1260640229230072.xml,1260640229237363.pdf,1969-10-28
3298,1969,10,29,1260640229271378.xml,1260640229278859.pdf,1969-10-29
3299,1969,10,30,1260640229306110.xml,1260640229311805.pdf,1969-10-30
3300,1969,10,31,1260640229337530.xml,1260640229343411.pdf,1969-10-31
3301,1969,10,31,1260640229481612.xml,1260640229487194.pdf,1969-10-31
3302,1969,10,23,126064022961550.xml,126064022968423.pdf,1969-10-23
3303,1969,11,03,1260640229621956.xml,1260640229627335.pdf,1969-11-03
3304,1969,11,04,1260640229654947.xml,1260640229660426.pdf,1969-11-04
3305,1969,11,05,1260640229696180.xml,1260640229702441.pdf,1969-11-05
3306,1969,11,06,1260640229729294.xml,1260640229734973.pdf,1969-11-06
3307,1969,11,07,1260640229765543.xml,1260640229770876.pdf,1969-11-07
3308,1969,11,10,1260640229804048.xml,1260640229809538.pdf,1969-11-10
3309,1969,11,12,1260640229836389.xml,1260640229841926.pdf,1969-11-12
3310,1969,11,13,1260640229874905.xml,1260640229880497.pdf,1969-11-13
3311,1969,11,14,1260640229913515.xml,1260640229918919.pdf,1969-11-14
3312,1969,11,17,1260640229958707.xml,1260640229964869.pdf,1969-11-17
3313,1969,11,18,1260640229993032.xml,1260640229998568.pdf,1969-11-18
3314,1969,11,21,1260640230120417.xml,1260640230127172.pdf,1969-11-21
3315,1969,11,24,1260640230166352.xml,1260640230173680.pdf,1969-11-24
3316,1969,11,25,1260640230207563.xml,1260640230214933.pdf,1969-11-25
3317,1969,12,03,1260640230246150.xml,1260640230251876.pdf,1969-12-03
3318,1969,12,04,1260640230283393.xml,1260640230289764.pdf,1969-12-04
3319,1969,11,19,126064023032023.xml,126064023038851.pdf,1969-11-19
3320,1969,12,05,1260640230321644.xml,1260640230326963.pdf,1969-12-05
3321,1969,12,08,1260640230356938.xml,1260640230362252.pdf,1969-12-08
